x	ulp_err
-329759.89820838516	153088
-228126.66020944927	646050
861377.51929268136	-2429004
793487.40101099934	-637830
-494898.59289913531	396948
-926823.84963573911	484218
-451398.30763910804	19811
529759.14257023553	-23250
702742.52342158847	-554168
-33271.021182623037	181
-753380.09511105483	523311
494787.70136859908	-246751
-458403.4869040763	227221
628023.2520072246	-7063075
353115.99413630558	-199723
-515277.5170172769	762242
-913671.58514606033	471281
550711.55445077724	-809615
-307566.65144851478	1687
-487154.25785745739	2744016
675097.10816015583	-508393
528374.2091728833	-205667
-803836.07789029682	2277472
-728219.60137276608	998
-139748.25514549881	49438
956961.85021981201	-84001
-741165.72856355947	65059
27445.414476297225	-24027
139063.61286317391	-87431
49728.728128680676	-43407
910448.77447860828	-408233
-484464.29614127742	294241
-208952.96611532231	114802
944483.12347916909	-552930
410446.2109773088	-310715
-318984.8628428097	907170
43350.757197192499	-122548
309242.11965851247	-149984
267522.699935838	-217403
138421.1239068649	-70391
-180468.10520096545	105620
234646.09360246279	-111763
-452867.47614755697	237328
878796.94983651687	-590839
-82439.825437718217	7237
-821624.25628490327	673354
-537023.11092339852	344055
-175213.86162656173	92498
-239841.29691064858	208257
-262495.69460255792	742020
226598.12561167381	-9945
256148.23320412493	-2811
627908.78981602867	-27559
509463.56211576215	-235177
-853587.13071426156	511275
23205.932679560392	-14508
743267.65921798162	-32621
-955689.07061107445	410729
-480056.46470789431	209581
976596.31978604186	-374378
-148366.44374068265	814
-734487.34203604492	64474
-151116.48985636473	125084
-431365.63077147951	624405
859568.05632735533	-4833871
779647.12729964708	-68436
-275341.88188808248	393880
356115.06381657289	-515142
601185.71243508661	-275122
247998.39674848999	-190731
513463.31102363975	-22535
-286456.65326307947	1612998
-470943.64522124908	2654275
547131.15331204596	-198514
-319037.84464871167	247682
-513496.40100607846	2895097
678699.5365992263	-418318
-152793.843984798	85476
842315.05236394738	-470147
-863374.74002415175	387025
-278020.79919899238	174508
-211950.71030099067	2382403
-47932.253152055513	26647
799204.22497822612	-70153
9742.9794479173543	-4434
-699147.95806482143	334974
318406.94929212111	-238254
779937.26164450089	-290284
772249.66386662249	-383726
-103536.80678959387	58459
-149204.11194536521	129480
985807.52896587143	-433657
-865016.95176911831	37965
57078.47046540038	-27114
-751145.78884388146	627203
679181.2074234864	-519925
109976.11678542118	-1207
-582529.27192391641	280005
-388605.14936192194	332471
-384702.67615228059	274942
263877.57384970278	-120447
-855655.87944244756	354589
930544.75352367456	-81682
-570252.1727873038	439018
251349.7971586003	-206965
-843993.76525443711	37042
-290822.18830389262	12764
-368358.89199554885	155591
-25172.549444847038	16813
-178541.04040950458	15672
-117576.69295154505	57060
-805484.92819424742	403492
-32129.335863522403	24261
-945556.71160143544	1360307
-171339.24799517696	483906
200403.34392922855	-104747
585889.97709785937	-25715
-325177.15193497267	253619
269028.847620157	-11807
219229.14614918575	-115221
-569218.30429917411	287700
-377475.67187065276	246724
517049.14646882826	-450280
984120.36732392223	-658467
-57114.987258995221	22151
715558.25687260751	-281822
306219.49392839952	-166668
817707.74362333596	-35890
-477940.87330244895	253738
853355.67190811038	-37452
-458108.35666313808	40213
443258.20269425464	-9728
-601493.51874455763	423117
644216.3491936099	-28274
222651.725105683	-151849
-812086.02727696602	4567552
-761319.12283113308	66828
-206607.0717965579	306213
-935396.26487646566	762485
-752393.38120096887	266750
583092.62151045946	-509288
-167202.93234600127	136262
873238.20155603089	-383897
163402.27164109121	-7171
-477344.15670076478	244665
746017.20509331091	-622767
-929483.03968213708	446642
192329.10520817304	-69986
307356.45761552523	-26979
-863441.23048241797	701732
699990.94974457892	-1996884
-816558.39647228282	71676
134911.04123035181	-1480
694401.84961981827	-1963884
754347.82539587864	-422540
-792996.47671289719	69610
905173.34222784301	-79455
-773247.43858612538	407544
690305.40314975881	-1961720
-826291.12982518913	425405
-593087.2233958327	13014
277508.73215376859	-170394
109001.48212436477	-76240
-53546.823367309757	588
306383.29176372482	-144809
-53633.877538901586	27944
407484.6874595657	-35769
-54953.932509573257	4824
-893357.74414267018	78419
741910.50411248114	-32563
-418543.6154022282	18370
198430.52722822406	-17419
-11285.381659314475	7853
-734958.73125315644	408462
-184662.08016558085	118036
-108018.73392320672	4741
-641523.78674154636	325892
699680.43242929399	-373325
-360672.16440749652	3958
883835.6360540312	-77583
729145.55521225638	-478085
-47914.631135468233	24183
960009.48357262253	-5267
679025.97043041687	-417831
-463420.64653479651	270565
927641.82068316068	-40714
369850.50194248202	-546306
604665.46302594489	-6795723
-448744.56437783939	211717
37585.139910966791	-16045
-691543.12837423454	3893045
-411155.94903615629	9240281
-900943.59671300068	323922
-865589.21973296243	75981
-65341.907544878122	184664
-315904.63469559158	13865
-151551.82702644699	6652
800433.89033920027	-2257742
533312.17052389856	-11703
-124890.60495519478	94389
-99603.663756162248	47051
187927.25925810961	-147281
928823.56270802789	-393750
-371188.04339315795	180076
-337700.54501183465	14822
846672.35192412348	-416967
595963.50064292375	-884006
637689.40963550459	-288210
-275959.11278757255	3029
-566595.85719057405	827575
790346.60436096566	-673313
-677497.37359639502	539737
-246319.75864854804	1386601
447252.43294937187	-371854
602396.37844374496	-255123
-643116.06599819253	347821
125113.04372214305	-54595
-226960.4480574202	155103
-662596.08352470607	533091
534015.60289771459	-23439
68248.604135908274	-37545
970459.69528342236	-732299
816204.35770980502	-614795
-640767.99129124486	366846
380249.29389014648	-301266
-801055.77727286331	2266027
910135.65870069282	-444612
809390.67558563128	-1169892
-355616.63319513062	166243
-49191.688072504621	26465
579004.93652918003	-13013733
-250427.54099512566	10991
-147496.55894813495	12947
758054.58481884911	-301328
-75536.481434446687	849357
-810389.27194070432	609685
-327241.85932424368	198123
-343075.77438235172	30115
768219.52733032231	-639954
29207.742376471389	-23337
808792.38584458444	-70994
-680935.27959709615	29887
749598.81423434953	-341329
-617256.05540257774	301242
385098.50359221565	-288503
-359238.07464348921	1018489
-358755.49568313436	31491
668221.41851007368	-7332
-87053.605622483432	245843
-316344.69896675553	143247
-281653.81081715878	146110
830122.03378188622	-1195233
33336.450572612805	-20748
880066.828244159	-2491366
503202.49372593808	-335579
950024.79912340408	-428926
-862573.46427576174	643350
30922.923184477426	-45740
-602455.08634780219	52883
-718992.46900219307	63112
-252780.87476186018	211454
-253253.14449683588	714299
-687896.16114694241	303038
-117788.426938909	69942
841244.27547951555	-465338
62460.14431099889	-37660
-560867.09867576964	24616
950694.79452095425	-41726
379628.4365610971	-4166
-725974.67113154428	548013
-259963.80754557901	374265
-805174.19200508727	618437
-506860.35341315495	377325
-235511.92186275282	144531
-360584.40103871026	31652
-326672.02344786614	478724
967265.06362672662	-2745170
-224901.64810821001	19740
835043.10513721313	-18324
504419.13477903564	-44277
223176.79718457127	-19590
-764122.15565223724	388503
459461.45532027469	-376591
134779.04947432218	-370
-982665.7392974922	580051
721920.82123708469	-15842
632854.5072659601	-283391
634833.1813355881	-397206
142495.36041138743	-85473
16678.713160525494	-1499186
444816.86860788928	-39045
168545.68264078427	-113336
110081.52176795715	-313350
691450.83378307743	-352491
600953.95855413284	-52753
-378587.99434074631	194711
762749.24672082521	-450941
-513559.5457524943	384759
43862.487944410947	-37235
-938699.40607752802	481604
30023.88206460571	-23382
818567.20087252487	-2323500
699968.04532287666	-247577
-211127.45867927396	301910
852721.64168094797	-345483
-375625.63582438114	166891
495557.94326258829	-5571027
-290379.559339192	169964
736564.07948633237	-420187
550764.09007307061	-442513
596941.24114335328	-299507
-838351.20715215313	18399
29465.944808018117	-15174
-418098.81009472138	2354287
-730691.25011414208	508829
134525.18046802498	-71504
-573576.80101269286	268116
962211.01941838465	-415991
-593507.23738265992	353175
-31145.351818197221	25732
-443365.18571096053	9730
556752.91272448038	-796878
386149.05731117964	-563778
-342167.77928047202	30035
-332555.37310214888	243274
-539768.82609334507	370662
-619227.59440639988	240168
624076.35683670559	-404989
269969.21291853185	-225428
483566.78315404709	-366722
-150820.66943026517	70417
-161389.40524514645	72987
571184.34403129935	-50137
401993.77386722591	-35287
551905.17398102616	-456314
-763108.48905307241	2155448
964077.43440645025	-84627
-839267.25510962936	1228399
-939982.22201198107	493379
-527060.37148485775	11565
27161.275471174529	-13509
-8151.7261416028659	4950
555050.7691762991	-486576
-181827.96853360717	88077
-178097.82349423564	88901
-635702.05416945671	442267
-80169.222688810652	63412
-53315.963367458804	2396246
-996269.84710401029	43727
-531307.77107754943	5831
-280473.76931384963	12310
664175.31514708127	-29151
-500771.83645921387	294475
-966169.844121092	84808
-356526.97528397205	519530
286708.34641467512	-223101
439940.58588452492	-19308
78567.981251977064	-223356
-105518.74996314758	78656
820011.33901829994	-365407
-801521.17359251285	641010
387464.93361811596	-290536
387217.82357159484	-146388
609324.72506116505	-459034
-317173.22111222101	181528
-53416.695724077035	77973
-216399.30800965123	617117
-914043.32533347013	2585843
-564333.32240218914	463535
842074.79612861748	-332078
-373443.38599183445	159309
-250225.99656763623	21965
407339.7618850423	-167382
61488.555884836816	-5398
725081.99740271072	-457369
-981795.56246681104	625656
65809.177889334605	-30284
41870.426597551799	-26023
739818.34047063952	-4059
843974.97792851413	-74084
-270787.8952889897	5942
824998.1307949929	-1202466
401316.90069611883	-341201
-204358.34683618337	89743
-969258.3649243617	10635
-83876.71939223152	47401
766499.59090440406	-67282
-276204.55102350592	135179
494239.26965579577	-337883
475660.36191737338	-41752
-333216.10116685519	939974
142882.08993738194	-83726
-100465.83032945522	39489
-814379.92274791352	401936
-164052.33273767162	3599
61997.630430925543	-2721
-179846.66354628475	509391
77972.569606020275	-3422
-202049.434243881	140482
-941546.18548755895	41324
-488669.32980037422	209157
485990.4480529158	-21329
-359525.62083965819	15780
451669.61109950842	-348900
995069.90189074073	-87347
354034.91401199892	-179291
-578805.22753255581	25405
-605553.12255363492	26578
-318330.48137833044	119824
960081.45227917342	-84276
-390337.99012094783	17131
82776.959719981664	-34549
909074.84207337233	-4987
651285.58255127887	-316808
-965636.2488354838	42380
535717.60679860332	-301932
-315683.50874739327	156570
-176475.31846315091	81102
231493.95281225172	-116947
459504.51829776348	-217027
202524.26565323933	-4445
888417.65542687813	-726751
310456.4343964982	-272109
-55552.019741327509	37350
-137068.51335962801	52361
509743.14076481073	-222137
926608.51431662228	-782224
-97591.158079130881	61039
-246730.37205185066	109388
-457291.23578051414	283014
-736566.18032677739	364868
333327.79861416208	-7314
100134.42586960841	-59938
-727458.81866122212	513292
-567953.22721263126	469863
558192.23431617534	-439426
-454414.86805369612	164802
258290.07656129144	-115876
729474.42075365141	-546168
848167.52029229223	-668106
107267.48749516468	-55335
-935000.59701787494	1371983
950430.75967925054	-5215
-130440.64179821857	5726
521102.66844381957	-435747
491333.76580874267	-43129
490694.49250803411	-375006
-267713.20095712837	178444
-18485.956357406463	7050
-77542.702009174565	6807
-263126.31905048643	124309
48131.853007925107	-21663
927259.42018740892	-423241
138500.37923861947	-197615
-490840.01547346456	305380
-750860.25166491629	499805
-655421.44127463026	538351
-349696.5270978355	298417
281547.3943575577	-170554
-1290.2948993025466	587
-67869.047406109326	5957
-412813.45001290302	36236
314705.03440102248	-132271
13654.363479567166	-8257
-675698.66965705913	29656
709779.89261093305	-1015421
-583238.80715392914	362635
-656366.1767430508	297040
64333.674256752405	-92145
-999245.54602545977	384577
-531197.89890484221	23313
189921.1289423428	-116619
-435966.64823581255	2391
108389.97915647019	-9516
360087.43201713054	-31608
-351769.19293952244	30877
-402856.84576471458	238557
-284956.1693557314	149439
-445109.29299113422	251062
-791932.73518272117	4464521
664809.8555942286	-29177
940367.04678161582	-779035
-324241.09881557483	284326
-574408.33852622076	503511
766135.07160281122	-411002
313586.23236182018	-27525
-323759.6841047018	247366
48317.833449818878	-69178
-656268.03685132985	57606
85854.413781230935	-47132
-736192.50499918812	323352
996037.78070814465	-656524
-30497.422110717042	16739
-227201.16399023993	19943
-560220.19545507338	327535
-596414.68054401234	334244
-101286.74360739421	4446
-813839.29235186789	622642
-372046.76372383151	171915
314564.73301820841	-460362
38098.483638908219	-31262
-370974.51849172881	321301
131658.32854683668	-115565
-45387.532806307914	23142
834051.12477041164	-364255
179209.68686130756	-103324
774552.10088530916	-67990
-41190.731924001688	3616
886329.07892186567	-484575
-731552.0381899043	501169
-287525.79601852538	150519
-569301.45732537494	249937
15985.648435009382	-1403
185659.61981375655	-88520
228611.6175820232	-168999
-961972.8074098425	42223
128375.31821199355	-107898
981048.9007551379	-43058
-655604.01187480369	429141
735423.93752301449	-344110
-23871.752007569412	2095
-723694.26640184585	2064546
-910118.90711490298	408143
494735.02672100911	-712301
-33276.894240089285	17110
-697680.94565756747	257239
-564783.73113413458	384943
290384.77104678837	-228531
349876.84547716944	-130086
95140.802012052547	-35139
-23731.258170135327	18655
-154801.43571987559	74087
800220.66870063904	-353888
-635322.29413063428	339338
761908.83205276984	-609435
